lambda nm,L,M
390,4.15E-04,3.68E-04
390.1,4.23E-04,3.76E-04
390.2,4.31E-04,3.83E-04
390.3,4.40E-04,3.91E-04
390.4,4.48E-04,3.98E-04
390.5,4.57E-04,4.06E-04
390.6,4.66E-04,4.14E-04
390.7,4.75E-04,4.23E-04
390.8,4.84E-04,4.31E-04
390.9,4.93E-04,4.39E-04
391,5.03E-04,4.48E-04
391.1,5.12E-04,4.57E-04
391.2,5.22E-04,4.66E-04
391.3,5.32E-04,4.75E-04
391.4,5.42E-04,4.84E-04
391.5,5.53E-04,4.94E-04
391.6,5.63E-04,5.03E-04
391.7,5.74E-04,5.13E-04
391.8,5.85E-04,5.23E-04
391.9,5.96E-04,5.34E-04
392,6.07E-04,5.44E-04
392.1,6.19E-04,5.55E-04
392.2,6.31E-04,5.65E-04
392.3,6.43E-04,5.76E-04
392.4,6.55E-04,5.88E-04
392.5,6.67E-04,5.99E-04
392.6,6.80E-04,6.10E-04
392.7,6.92E-04,6.22E-04
392.8,7.05E-04,6.34E-04
392.9,7.18E-04,6.47E-04
393,7.32E-04,6.59E-04
393.1,7.45E-04,6.72E-04
393.2,7.59E-04,6.85E-04
393.3,7.73E-04,6.98E-04
393.4,7.88E-04,7.11E-04
393.5,8.02E-04,7.25E-04
393.6,8.17E-04,7.38E-04
393.7,8.32E-04,7.52E-04
393.8,8.48E-04,7.67E-04
393.9,8.63E-04,7.81E-04
394,8.79E-04,7.96E-04
394.1,8.95E-04,8.11E-04
394.2,9.11E-04,8.26E-04
394.3,9.28E-04,8.42E-04
394.4,9.45E-04,8.58E-04
394.5,9.62E-04,8.74E-04
394.6,9.79E-04,8.90E-04
394.7,9.97E-04,9.07E-04
394.8,1.02E-03,9.24E-04
394.9,1.03E-03,9.41E-04
395,1.05E-03,9.59E-04
395.1,1.07E-03,9.76E-04
395.2,1.09E-03,9.95E-04
395.3,1.11E-03,1.01E-03
395.4,1.13E-03,1.03E-03
395.5,1.15E-03,1.05E-03
395.6,1.17E-03,1.07E-03
395.7,1.19E-03,1.09E-03
395.8,1.21E-03,1.11E-03
395.9,1.23E-03,1.13E-03
396,1.25E-03,1.15E-03
396.1,1.28E-03,1.17E-03
396.2,1.30E-03,1.19E-03
396.3,1.32E-03,1.21E-03
396.4,1.34E-03,1.24E-03
396.5,1.37E-03,1.26E-03
396.6,1.39E-03,1.28E-03
396.7,1.41E-03,1.30E-03
396.8,1.44E-03,1.33E-03
396.9,1.46E-03,1.35E-03
397,1.49E-03,1.37E-03
397.1,1.51E-03,1.40E-03
397.2,1.54E-03,1.42E-03
397.3,1.56E-03,1.45E-03
397.4,1.59E-03,1.47E-03
397.5,1.62E-03,1.50E-03
397.6,1.64E-03,1.52E-03
397.7,1.67E-03,1.55E-03
397.8,1.70E-03,1.58E-03
397.9,1.73E-03,1.61E-03
398,1.76E-03,1.63E-03
398.1,1.79E-03,1.66E-03
398.2,1.81E-03,1.69E-03
398.3,1.84E-03,1.72E-03
398.4,1.87E-03,1.75E-03
398.5,1.90E-03,1.78E-03
398.6,1.94E-03,1.81E-03
398.7,1.97E-03,1.84E-03
398.8,2.00E-03,1.87E-03
398.9,2.03E-03,1.90E-03
399,2.06E-03,1.93E-03
399.1,2.10E-03,1.96E-03
399.2,2.13E-03,2.00E-03
399.3,2.16E-03,2.03E-03
399.4,2.20E-03,2.06E-03
