lambda nm,Pheomelanin cm-1/M
213.54,13922
217.92,13611
222.25,13198
226.55,12732
228.59,12268
232.91,11854
234.95,11389
241.54,10975
243.61,10562
247.96,10200
250.18,10096
256.82,9785.1
263.41,9370.7
270.05,9059.7
276.71,8800.1
285.6,8436.7
292.24,8125.8
298.88,7814.5
303.26,7503.9
312.08,7037.5
323.18,6570.5
334.25,6052.2
343.05,5534.2
351.88,5067.8
360.76,4704.4
376.38,4236.5
387.5,3820.8
403.2,3507.6
418.85,3091
430.04,2830.2
443.45,2465.9
459.17,2204.2
481.61,1785.9
501.83,1471.5
524.32,1156.1
549.09,892.08
591.91,468.76
600.98,518.02
625.84,408.58
652.98,350.17
675.59,292.93
700.47,235.11
720.81,178.48
750.22,119.47
770.62,165.79
786.44,110.33
802.28,106.5
820.37,50.15
829.42,48.085
