lambda nm,S
390,9.55E-03
390.1,9.72E-03
390.2,9.91E-03
390.3,1.01E-02
390.4,1.03E-02
390.5,1.05E-02
390.6,1.07E-02
390.7,1.09E-02
390.8,1.11E-02
390.9,1.13E-02
391,1.15E-02
391.1,1.17E-02
391.2,1.19E-02
391.3,1.21E-02
391.4,1.24E-02
391.5,1.26E-02
391.6,1.28E-02
391.7,1.31E-02
391.8,1.33E-02
391.9,1.35E-02
392,1.38E-02
392.1,1.41E-02
392.2,1.43E-02
392.3,1.46E-02
392.4,1.48E-02
392.5,1.51E-02
392.6,1.54E-02
392.7,1.57E-02
392.8,1.60E-02
392.9,1.63E-02
393,1.66E-02
393.1,1.69E-02
393.2,1.72E-02
393.3,1.75E-02
393.4,1.78E-02
393.5,1.82E-02
393.6,1.85E-02
393.7,1.88E-02
393.8,1.92E-02
393.9,1.95E-02
394,1.99E-02
394.1,2.03E-02
394.2,2.06E-02
394.3,2.10E-02
394.4,2.14E-02
394.5,2.18E-02
394.6,2.22E-02
394.7,2.26E-02
394.8,2.30E-02
394.9,2.34E-02
395,2.38E-02
395.1,2.43E-02
395.2,2.47E-02
395.3,2.51E-02
395.4,2.56E-02
395.5,2.61E-02
395.6,2.65E-02
395.7,2.70E-02
395.8,2.75E-02
395.9,2.80E-02
396,2.85E-02
396.1,2.90E-02
396.2,2.95E-02
396.3,3.00E-02
396.4,3.06E-02
396.5,3.11E-02
396.6,3.17E-02
396.7,3.22E-02
396.8,3.28E-02
396.9,3.34E-02
397,3.40E-02
397.1,3.46E-02
397.2,3.52E-02
397.3,3.58E-02
397.4,3.64E-02
397.5,3.71E-02
397.6,3.77E-02
397.7,3.84E-02
397.8,3.91E-02
397.9,3.97E-02
398,4.04E-02
398.1,4.11E-02
398.2,4.18E-02
398.3,4.26E-02
398.4,4.33E-02
398.5,4.40E-02
398.6,4.48E-02
398.7,4.56E-02
398.8,4.63E-02
398.9,4.71E-02
399,4.79E-02
399.1,4.88E-02
399.2,4.96E-02
399.3,5.04E-02
399.4,5.13E-02
399.5,5.21E-02
399.6,5.30E-02
399.7,5.39E-02
399.8,5.48E-02
399.9,5.57E-02
400,5.66E-02
400.1,5.76E-02
400.2,5.85E-02
400.3,5.95E-02
400.4,6.05E-02
400.5,6.15E-02
400.6,6.25E-02
400.7,6.35E-02
400.8,6.46E-02
400.9,6.56E-02
401,6.67E-02
401.1,6.78E-02
401.2,6.89E-02
401.3,7.00E-02
401.4,7.11E-02
401.5,7.22E-02
401.6,7.34E-02
401.7,7.45E-02
401.8,7.57E-02
401.9,7.69E-02
402,7.81E-02
402.1,7.94E-02
402.2,8.06E-02
402.3,8.19E-02
402.4,8.32E-02
402.5,8.45E-02
402.6,8.58E-02
402.7,8.71E-02
402.8,8.85E-02
402.9,8.98E-02
403,9.12E-02
403.1,9.26E-02
403.2,9.40E-02
403.3,9.54E-02
403.4,9.69E-02
403.5,9.83E-02
403.6,9.98E-02
403.7,1.01E-01
403.8,1.03E-01
403.9,1.04E-01
404,1.06E-01
404.1,1.07E-01
404.2,1.09E-01
404.3,1.11E-01
404.4,1.12E-01
404.5,1.14E-01
404.6,1.16E-01
404.7,1.17E-01
404.8,1.19E-01
404.9,1.21E-01
405,1.22E-01
405.1,1.24E-01
405.2,1.26E-01
405.3,1.28E-01
405.4,1.30E-01
405.5,1.31E-01
405.6,1.33E-01
405.7,1.35E-01
405.8,1.37E-01
405.9,1.39E-01
406,1.41E-01
406.1,1.43E-01
406.2,1.45E-01
406.3,1.47E-01
406.4,1.49E-01
406.5,1.51E-01
406.6,1.53E-01
406.7,1.55E-01
406.8,1.57E-01
406.9,1.59E-01
407,1.61E-01
407.1,1.63E-01
407.2,1.65E-01
407.3,1.68E-01
407.4,1.70E-01
407.5,1.72E-01
407.6,1.74E-01
407.7,1.76E-01
407.8,1.79E-01
407.9,1.81E-01
408,1.83E-01
408.1,1.86E-01
408.2,1.88E-01
408.3,1.90E-01
408.4,1.93E-01
408.5,1.95E-01
408.6,1.98E-01
408.7,2.00E-01
408.8,2.02E-01
408.9,2.05E-01
409,2.07E-01
409.1,2.10E-01
409.2,2.12E-01
409.3,2.15E-01
409.4,2.17E-01
409.5,2.20E-01
409.6,2.23E-01
409.7,2.25E-01
409.8,2.28E-01
409.9,2.30E-01
410,2.33E-01
410.1,2.36E-01
410.2,2.38E-01
410.3,2.41E-01
410.4,2.44E-01
410.5,2.46E-01
410.6,2.49E-01
410.7,2.52E-01
410.8,2.55E-01
410.9,2.57E-01
411,2.60E-01
411.1,2.63E-01
411.2,2.66E-01
411.3,2.69E-01
411.4,2.71E-01
411.5,2.74E-01
411.6,2.77E-01
411.7,2.80E-01
411.8,2.83E-01
411.9,2.86E-01
412,2.89E-01
412.1,2.92E-01
412.2,2.95E-01
412.3,2.98E-01
412.4,3.00E-01
412.5,3.03E-01
412.6,3.06E-01
412.7,3.09E-01
412.8,3.12E-01
412.9,3.15E-01
413,3.19E-01
413.1,3.22E-01
413.2,3.25E-01
413.3,3.28E-01
413.4,3.31E-01
413.5,3.34E-01
413.6,3.37E-01
413.7,3.40E-01
413.8,3.43E-01
413.9,3.46E-01
414,3.49E-01
414.1,3.53E-01
414.2,3.56E-01
414.3,3.59E-01
414.4,3.62E-01
414.5,3.65E-01
414.6,3.68E-01
414.7,3.72E-01
414.8,3.75E-01
414.9,3.78E-01
415,3.81E-01
415.1,3.85E-01
415.2,3.88E-01
415.3,3.91E-01
415.4,3.94E-01
415.5,3.98E-01
415.6,4.01E-01
415.7,4.04E-01
415.8,4.08E-01
415.9,4.11E-01
416,4.14E-01
416.1,4.17E-01
416.2,4.21E-01
416.3,4.24E-01
416.4,4.27E-01
416.5,4.31E-01
416.6,4.34E-01
416.7,4.37E-01
416.8,4.41E-01
416.9,4.44E-01
417,4.47E-01
417.1,4.51E-01
417.2,4.54E-01
417.3,4.57E-01
417.4,4.61E-01
417.5,4.64E-01
417.6,4.67E-01
417.7,4.71E-01
417.8,4.74E-01
417.9,4.77E-01
418,4.80E-01
418.1,4.84E-01
418.2,4.87E-01
418.3,4.90E-01
418.4,4.94E-01
418.5,4.97E-01
418.6,5.00E-01
418.7,5.03E-01
418.8,5.06E-01
418.9,5.10E-01
419,5.13E-01
419.1,5.16E-01
419.2,5.19E-01
419.3,5.22E-01
419.4,5.25E-01
419.5,5.28E-01
419.6,5.32E-01
419.7,5.35E-01
419.8,5.38E-01
419.9,5.41E-01
420,5.44E-01
420.1,5.47E-01
420.2,5.50E-01
