lambda nm,X,Y,Z
390,3.77E-03,4.15E-04,1.85E-02
390.1,3.84E-03,4.23E-04,1.88E-02
390.2,3.91E-03,4.31E-04,1.92E-02
390.3,3.98E-03,4.39E-04,1.95E-02
390.4,4.06E-03,4.48E-04,1.99E-02
390.5,4.13E-03,4.57E-04,2.03E-02
390.6,4.21E-03,4.66E-04,2.06E-02
390.7,4.29E-03,4.75E-04,2.10E-02
390.8,4.37E-03,4.84E-04,2.14E-02
390.9,4.45E-03,4.93E-04,2.18E-02
391,4.53E-03,5.03E-04,2.22E-02
391.1,4.62E-03,5.13E-04,2.26E-02
391.2,4.70E-03,5.22E-04,2.30E-02
391.3,4.79E-03,5.33E-04,2.35E-02
391.4,4.88E-03,5.43E-04,2.39E-02
391.5,4.97E-03,5.53E-04,2.44E-02
391.6,5.06E-03,5.64E-04,2.48E-02
391.7,5.15E-03,5.75E-04,2.53E-02
391.8,5.25E-03,5.86E-04,2.57E-02
391.9,5.35E-03,5.97E-04,2.62E-02
392,5.45E-03,6.08E-04,2.67E-02
392.1,5.55E-03,6.20E-04,2.72E-02
392.2,5.65E-03,6.32E-04,2.77E-02
392.3,5.75E-03,6.44E-04,2.82E-02
392.4,5.86E-03,6.56E-04,2.87E-02
392.5,5.97E-03,6.69E-04,2.93E-02
392.6,6.08E-03,6.81E-04,2.98E-02
392.7,6.19E-03,6.94E-04,3.04E-02
392.8,6.30E-03,7.07E-04,3.09E-02
392.9,6.42E-03,7.21E-04,3.15E-02
393,6.54E-03,7.34E-04,3.21E-02
393.1,6.66E-03,7.48E-04,3.27E-02
393.2,6.78E-03,7.62E-04,3.33E-02
393.3,6.91E-03,7.77E-04,3.39E-02
393.4,7.03E-03,7.91E-04,3.45E-02
393.5,7.16E-03,8.06E-04,3.51E-02
393.6,7.29E-03,8.21E-04,3.58E-02
393.7,7.43E-03,8.36E-04,3.64E-02
393.8,7.56E-03,8.52E-04,3.71E-02
393.9,7.70E-03,8.68E-04,3.78E-02
394,7.84E-03,8.84E-04,3.85E-02
394.1,7.98E-03,9.00E-04,3.92E-02
394.2,8.13E-03,9.17E-04,3.99E-02
394.3,8.28E-03,9.34E-04,4.06E-02
394.4,8.43E-03,9.51E-04,4.14E-02
394.5,8.58E-03,9.68E-04,4.21E-02
394.6,8.73E-03,9.86E-04,4.29E-02
394.7,8.89E-03,1.00E-03,4.37E-02
394.8,9.05E-03,1.02E-03,4.45E-02
